lesson	category	filename	content
lesson13b	grammar	90.htm	V (Base II) 難い：
        
       difficult to V
       
 
 
 
 
       Explanation:
       
      This is very similar to "V (Base II) にくい" but gives more literary (or written) flavor and is used for more conceptual or abstract things, e.g. hard to express or hard to understand, etc.  Note ありがたい of ありがとう comes from "difficult to exist," in other words, "rare things," or "precious things," which developed to express a feeling of gratitude on the part of the speaker.
       
 
      例1. 筆舌に尽くし難い：difficult to express with words
       
 
      例2. 表し難い：difficult to express
       
 
      例3. 理解し難い：difficult to understand
lesson13b	grammar	80.htm	S1  かと思うと S2:
        
       No sooner S1, than S2.
       
 
 
 
 
       Explanation:
       
      This form means "no sooner S1, than S2" or "as soon as S1, S2." With the meaning, S1 is usually in the past tense た.
       
 
      例. 帰ってきたかと思うと、また出て行ってしまった。
       
      No sooner did he come home, than he went out.
lesson13b	translation	439.htm	Then there were plans to hold the Olympics in Tōkyō, but with the Olympics canceled during the war, ironically the streets of Tōkyō, which should have been lively with athletes from around the world, were turned into scorched fields owing to war.
lesson13b	translation	438.htm	[After that] Japanese athletes, who were considered to be far below international standards at that time, practiced every day, finally becoming a power, particularly in swimming, able to win in nearly every event in the 1932 Los Angeles Olympics and the 1936 Berlin Olympics.
lesson13b	translation	436.htm	The modern Olympics were resurrected as a result of the advocacy of a Frenchman called Coubertin in the year 1896, and athletes from countries throughout the world began to compete in a variety of sporting events.
lesson13b	translation	437.htm	Japan participated for the first time in the Fifth Olympics held in Stockholm in 1912.
lesson13b	translation	435.htm	It is said that the Olympics began as a worship ceremony dedicated to the God Zeus in ancient Greece.
lesson13b	translation	434.htm	The sacred flame, carried all the way from far-off Athens, blazed in the Tōkyō National Stadium, and the first Asian Olympics had begun.
lesson13b	translation	433.htm	Hardly had one heard the "Bang, Bang" of exploding fireworks than there were five rings of various colors, linked like a chain, drawn in the sky.
lesson13b	translation	441.htm	It was a clear autumn day in 1964 in Japan. The long-awaited sacred flame was set ablaze in the Tōkyō National Stadium.
lesson13b	translation	440.htm	The Olympics were reinstated after the war, however, and the International Olympic Committee (IOC), central managing body of the Olympics, determined that the games would be held in Japan.
lesson13b	translation	442.htm	It is difficult to express in writing how deeply moved those who had been forced to give up on the planned Tōkyō Olympics on account of the war were at that moment.
lesson13b	translation	443.htm	There was great success, including winning of gold medals and victories in various events such as judo and light weight wrestling, gymnastics, and women's volley ball.
lesson13b	translation	444.htm	True to the saying, however, that "In the Olympics, it is not the winning but the participation that counts," the closing ceremony was very impressive, where athletes filled with the joy of participating in the Olympics, even if they hadn't won a single medal, shed tears of regret at parting.
lesson13b	translation	445.htm	Today, here and there in Tōkyō, there are remnants of sites used during the Olympics, such as the National Stadium and the Yoyogi National Gymnasium, which tell the story of the historical Olympics.
lesson13b	vocab	1725.htm	第
       
 
      だい
      
 
 
 
       Definition:
       
      order
lesson13b	vocab	1296.htm	色とりどりの
       
 
      いろとりどりの
      
 
 
 
       Definition:
       
      various colors
lesson13b	vocab	1309.htm	競い合う
       
 
      きそいあう
      
 
 
 
       Definition:
       
      to compete together
lesson13b	vocab	1321.htm	再開される
       
 
      さいかいされる
      
 
 
 
       Definition:
       
      to be held again
lesson13b	vocab	475.htm	理
       
 
      ことわり
      
 
 
 
       Definition:
       
      truth
lesson13b	vocab	1320.htm	にぎわう
       
 
 
 
 
       Definition:
       
      to be crowded; be bustling
lesson13b	vocab	1334.htm	競技
       
 
      きょうぎ
      
 
 
 
       Definition:
       
      game; match
lesson13b	vocab	1297.htm	輪
       
 
      わ
      
 
 
 
       Definition:
       
      circle; ring
lesson13b	vocab	1295.htm	花火
       
 
      はなび
      
 
 
 
       Definition:
       
      fireworks
lesson13b	vocab	932.htm	跡
       
 
      あと
      
 
 
 
       Definition:
       
      traces; vestiges; ruins
lesson13b	vocab	1322.htm	管理する
       
 
      かんりする
      
 
 
 
       Definition:
       
      to control; manage
lesson13b	vocab	1336.htm	賞
       
 
      しょう
      
 
 
 
       Definition:
       
      prize
lesson13b	vocab	1337.htm	惜しむ
       
 
      おしむ
      
 
 
 
       Definition:
       
      to regret
lesson13b	vocab	2158.htm	待つ
       
 
      まつ
      
 
 
 
       Definition:
       
      to wait
lesson13b	vocab	1323.htm	開催する
       
 
      かいさいする
      
 
 
 
       Definition:
       
      to hold
lesson13b	vocab	1333.htm	体操
       
 
      たいそう
      
 
 
 
       Definition:
       
      gymnastics
lesson13b	vocab	1864.htm	計画
       
 
      けいかく
      
 
 
 
       Definition:
       
      a plan
lesson13b	vocab	1643.htm	大分
       
 
      だいぶ
      
 
 
 
       Definition:
       
      very; greatly
lesson13b	vocab	1332.htm	軽量級
       
 
      けいりょうきゅう
      
 
 
 
       Definition:
       
      the lightweight class
lesson13b	vocab	1326.htm	点火する
       
 
      てんかする
      
 
 
 
       Definition:
       
      to light the flame
lesson13b	vocab	1520.htm	歴史
       
 
      れきし
      
 
 
 
       Definition:
       
      history
lesson13b	vocab	1330.htm	獲得
       
 
      かくとく
      
 
 
 
       Definition:
       
      acquisition
lesson13b	vocab	1324.htm	日本晴れの日
       
 
      にほんばれのひ
      
 
 
 
       Definition:
       
      a beautiful day; ideal(very fine) weather
lesson13b	vocab	2177.htm	優勝
       
 
      ゆうしょう
      
 
 
 
       Definition:
       
      victory
lesson13b	vocab	1318.htm	皮肉にも
       
 
      ひにくにも
      
 
 
 
       Definition:
       
      ironically
lesson13b	vocab	1669.htm	違いない
       
 
      ちがいない
      
 
 
 
       Definition:
       
      I am sure that ‾; certain of; must be
lesson13b	vocab	2176.htm	世界中
       
 
      せかいじゅう
      
 
 
 
       Definition:
       
      throughout the world
lesson13b	vocab	1319.htm	世界各国
       
 
      せかいかっこく
      
 
 
 
       Definition:
       
      all the countries of the world
lesson13b	vocab	841.htm	優秀な
       
 
      ゆうしゅうな
      
 
 
 
       Definition:
       
      excellent
lesson13b	vocab	2162.htm	常に
